id	filename	md5	size	state
06d53384-4011-491b-998f-78a411f09d5b	TCGA-NC-A5HI-01A-01-TS1.6370DE5F-F10B-4EE4-BC54-1C219C18BDD2.svs	f15d953255a12e8c2607420a1bfaf933	84869301	validated
08c583a9-7cd1-4b24-a906-12bb4a126a44	TCGA-58-8386-01A-01-BS1.9bddd017-05d5-412f-a745-2c2532ff47ad.svs	8a2bb29c9a224c0aaace479c232f04c2	349337297	validated
0dadc1c5-bbd3-402e-91dc-7f972c6e471a	TCGA-22-5473-01A-01-TS1.0acdbc83-6600-41e5-bd65-3a77eff8445a.svs	1c78ce83dc71d6c6a8481916758a128a	154136555	validated
0ea2d2c1-4d5c-4711-a6c3-b68e02c73dd4	TCGA-43-6773-01A-03-BS3.a242cb6f-4b19-454e-a847-90aba0651399.svs	9a41ea39d26c7301c5e8073266faca44	72303245	validated
12291540-bc7b-45e4-a900-7f48e2fec6a1	TCGA-22-4604-01A-01-BS1.1574d668-c931-4407-937a-7dd3cb7bcc5e.svs	e783e544267c25088f5d7425fc813023	128394119	validated
1a71b3d7-5ad4-4ebd-ad6d-8e67fba6dbf9	TCGA-MF-A522-01A-01-TS1.8C295648-89A7-4043-AFF3-9397012B3669.svs	1eab4912d84bcef5bf3f16267e3a767d	223828307	validated
1c3eb963-cf1d-4560-b7a2-0923ef121960	TCGA-18-3407-11A-01-BS1.6fa61035-bdb7-4cb0-becb-7d5c999ed1e3.svs	b9e2d222a4d65a2c4a22a0de84140fcb	188800719	validated
263584b3-a019-411c-85fd-2d64dc6061fa	TCGA-34-2609-11A-01-BS1.5cb518a0-951d-4b27-9966-3e530fe21b3c.svs	db40a32ce134edd43323535468d66214	203681643	validated
27db7c83-c62b-49ca-a3a7-15b98ae7713b	TCGA-18-3415-11A-01-TS1.b1e85518-9f4e-4599-87f8-1846fcb70a87.svs	5a202fdbb7efea81ace8c5b0ec076262	37728829	validated
27e96d8c-2e50-475b-af4b-199326b21f0a	TCGA-60-2695-11A-01-TS1.a7ed2088-c2ad-4a80-ad27-e0188890b45a.svs	7f6109e5b61477f6ca1bd6092aec198c	80207709	validated
284b6e6a-d6d8-42c1-b81e-c3b89621e026	TCGA-34-7107-01A-01-TS1.cd0d4a28-72df-4cec-b552-c1999bfa3dbc.svs	ca4cc3a06f088994cec39a767fdf9f08	143351637	validated
352ddc3e-4692-4939-9808-129ba127339e	TCGA-22-1012-01A-01-TS1.00053cac-2fef-4839-866f-25e15e61f568.svs	c07f25e126be8ea45a2b5b130b1ae7c6	142649481	validated
38996379-23f1-4c3d-b859-5cabf57d7557	TCGA-21-5787-01A-01-BS1.581d1565-9067-4664-ae46-c94dec16f6b3.svs	00e3edb3348f9a5ff9259b7347d7dc98	154358623	validated
42cde101-65c6-44e2-a0b2-25197eecdeb6	TCGA-NC-A5HF-01A-01-TS1.645E44C8-5848-4380-89D8-9EE5F799B644.svs	28179575f4727a1e4c4d94a26cd433fd	240519861	validated
43010144-a7da-4add-9263-a2615f8a36d2	TCGA-85-8277-01A-01-TS1.e48a2952-c006-4ee5-94e2-348453cde039.svs	efb5174600b12d100e056841dd5f7316	67411841	validated
438835db-15a9-4f96-a04e-58e7c0800fd6	TCGA-60-2720-01A-01-TS1.a2cf91d0-2fc0-4f28-99ef-61dbd604c05b.svs	c7269f10e42b38787c0f9d3e6f8accfd	170504063	validated
4b2d82eb-f211-4a96-95b5-477fbdc09c81	TCGA-22-4607-01A-01-BS1.6cd55f3a-3f76-47ca-963a-0ab274eee516.svs	e0f06aa1d64887fc92cd99f72a4f8904	181083467	validated
622c4955-5a1e-49c0-9f14-7894502214b5	TCGA-60-2697-11A-01-TS1.5b8384c3-63a9-4a5d-b62a-5a62840e8099.svs	b29a02e31ca1ba6cf6818b961e1ddffa	128987149	validated
70d0010d-8346-4d48-8620-16bbe3523667	TCGA-77-A5G6-01A-01-TS1.694AEB4E-FE41-4226-899A-0481EB261B86.svs	f60ecc42a940d68f10fd26f4be0da13f	203053427	validated
769e8c94-78c4-474b-aa0d-d5e5235f109a	TCGA-85-7698-01A-01-BS1.bf794cb5-2f6e-4beb-89e7-5f8aab7081d3.svs	5edcbf60b1342b141e82d61acf930e06	449235379	validated
79ec2dcc-5ca0-4651-aeac-26db87d4f696	TCGA-34-2600-11A-01-BS1.dd70f786-4ac1-4dfc-b66c-281e19edf374.svs	f626e31c9ea3d5ab21dc408f7ac38461	178533995	validated
7d1de27b-0982-47f1-ab35-93daaaf237c4	TCGA-85-A512-01A-01-TSA.C10905AD-361F-48E5-9FFD-8DFDA6E256FD.svs	d93d205e6f089ca7c82fbef203f89252	357215393	validated
83cbbe72-4caa-4267-9da8-015ae356c6d3	TCGA-34-8456-11A-01-TS1.64adb4ed-671c-493d-937d-75e3bd103ca9.svs	e447811c1f5795bc1c324ede6e7bcf23	76285301	validated
8f1cb76b-b05c-4a7f-bbec-72a13c62d649	TCGA-51-6867-01A-01-TS1.6e5b5487-8e8a-4448-bb9f-9e904196566c.svs	19c47a90615b2c46ec0be6874cb77f62	42149587	validated
919bf815-3446-49a4-b6b3-30aa399e79da	TCGA-43-2576-11A-01-TS1.a11717f9-f106-4d2a-92fc-71a9f0d15fd1.svs	80019bbfcaa9815a1e156c8b7b1333ec	58541013	validated
970f4a9b-73ff-4428-8049-901a74e92ad7	TCGA-60-2712-01A-01-BS1.688759d6-8939-4cd6-bad9-42c1d3e202ba.svs	6ad0ac58d27f0c9418cf40fd40898258	166364837	validated
a08d700b-3df2-4d24-9be3-36170f844398	TCGA-77-7142-11A-01-TS1.81c96483-edd3-47a0-be05-7bb308e3d963.svs	e4335822de50577c5b8c91944836b5eb	49606485	validated
a369fc28-650b-4587-83dc-78fa8875ef16	TCGA-56-A62T-01A-01-TS1.E3B64735-90EE-436F-901E-6F2582F17D69.svs	3e7dae8c87490b7b824dfb7216cc3720	170456505	validated
a4c8deae-fe09-4570-8f3a-02f40d522d1d	TCGA-43-7657-01A-02-BS2.1f7ff63c-367b-4104-8778-1832476b1456.svs	951d0ce29018d1f1d8aade4d3d53e13c	74618063	validated
b0b10711-a48c-42c1-8189-4ad678412b3d	TCGA-90-7767-11A-01-TS1.4fa0be36-586a-4c1e-9868-28945ae03f79.svs	b55e2077d3890469926dbcc19582974b	185085731	validated
b1896d6b-d7e6-4e44-89c3-60884f1a18f1	TCGA-58-8390-01A-01-TS1.362c9ebd-b84b-4ed5-a33d-76214ca05021.svs	cffbdca60689ed28eff5402e314b9914	122081447	validated
b261850d-308d-4b2c-90b0-9f18c018d2c9	TCGA-22-5471-11A-01-TS1.546968c3-b791-4aa5-bd78-0c08c50e1d1b.svs	8b2de9e5053caa025a94de7bf57b78d8	52588333	validated
b544e63d-dd67-45a3-9417-3cc84cd0a607	TCGA-66-2755-11A-01-BS1.4b973f34-e8ef-498a-98b4-204ed5ab60a3.svs	f6d78a263cf0d81d1aa897871303bfb5	163530691	validated
b6db63cd-3174-4e35-b4f4-9758f1514dc8	TCGA-34-5240-01A-01-TS1.c96dbfd1-7adc-476f-ab6d-da0c98dbde8d.svs	e1e0eb1b5d3472916d91d180efb0565f	170958757	validated
c17a6197-b729-4b91-9fb1-f8ee9e3e789b	TCGA-85-8350-01A-01-BS1.a4541951-eba7-4ab2-93b4-f67d96087501.svs	4d11e62946d5a73faecc4190c686f56f	196497189	validated
c846f2b1-1d77-46ed-902b-c41ef752ca9c	TCGA-60-2704-11A-01-TS1.59365723-411d-4314-b552-ab0a8d230805.svs	57c1ffe9a83aa1110238e7291b8d6f26	51818247	validated
c9b69594-7be5-4597-8698-7c2880b14b24	TCGA-56-8305-11A-01-TS1.dc4b057e-a254-4147-84ce-4542c61d81ce.svs	213b512a185f765e7d98632e9bd72873	159788017	validated
d0cff212-f4f6-4f4f-aef3-b4538aca17a5	TCGA-39-5034-01A-01-BS1.75a8f33b-53de-4d96-8d7b-bb89e3922509.svs	075f0aea6edbfea8f5c5815bbbf6c823	379622735	validated
dc38e493-8215-4024-9385-98bdad0be83f	TCGA-43-2576-01A-01-TS1.70eadff9-82d1-4853-a22e-0fe105483b5d.svs	618f60833fefb539e2cd2f13eb98fca0	87798321	validated
e5e073eb-cd66-4dc8-97aa-34088fedef88	TCGA-18-3406-01A-01-BS1.64ccb223-fed0-4472-92f0-8789ac4afc59.svs	c9e8fcd8f86f7ae92e2524b91c291583	39332341	validated
e9760244-3db6-48e1-aa57-f2e2b5352934	TCGA-18-3419-01A-01-BS1.258a5fb6-f212-4a6a-a43a-75541f043038.svs	243e93467455ff7bbfd29be62710f1eb	50099153	validated
ead01bdb-6907-4f58-bc51-18af2918656d	TCGA-22-4593-11A-01-TS1.d201493f-1067-4e6c-84e3-b203f3397a93.svs	1f828eb53866b32f041d29ecb9652f5c	72229795	validated
ed345fe8-8b10-43fe-9ec8-1de25d3190ff	TCGA-77-A5GB-01B-01-TS1.F4B05B66-8E02-4377-BF27-226BB1A9FA13.svs	a430d2e7772cc3b26e6053a060a1d8d6	242415041	validated
ed724430-4505-40e3-9e14-02e93f988f8f	TCGA-66-2794-01A-01-TS1.017a3383-b912-4701-9f9c-dbed66d18deb.svs	ec6eafee38ba54cf17705df82c21a2c3	123105637	validated
fb10a022-7989-47d2-97c3-8f269a89f56c	TCGA-60-2720-11A-01-TS1.9879f2f2-63ac-4dc9-81cb-ee4f801ab472.svs	bde4321ee509572261f9b04ad88d08f4	30632059	validated
